i,Volts,Ptorr
245,4.45,2.722e-02
246,4.46,2.749e-02
247,4.47,2.776e-02
248,4.48,2.802e-02
249,4.49,2.829e-02
250,4.50,2.855e-02
251,4.51,2.881e-02
252,4.52,2.908e-02
253,4.53,2.934e-02
254,4.54,2.961e-02
255,4.55,2.987e-02
256,4.56,3.014e-02
257,4.57,3.041e-02
258,4.58,3.067e-02
259,4.59,3.094e-02
260,4.60,3.120e-02
261,4.61,3.153e-02
262,4.62,3.186e-02
263,4.63,3.219e-02
264,4.64,3.252e-02
265,4.65,3.285e-02
266,4.66,3.318e-02
267,4.67,3.351e-02
268,4.68,3.384e-02
269,4.69,3.417e-02
270,4.70,3.450e-02
271,4.71,3.483e-02
272,4.72,3.516e-02
273,4.73,3.549e-02
274,4.74,3.582e-02
275,4.75,3.615e-02
276,4.76,3.648e-02
277,4.77,3.681e-02
278,4.78,3.714e-02
279,4.79,3.747e-02
280,4.80,3.780e-02
281,4.81,3.813e-02
282,4.82,3.846e-02
283,4.83,3.879e-02
284,4.84,3.912e-02
285,4.85,3.945e-02
286,4.86,3.978e-02
287,4.87,4.011e-02
288,4.88,4.044e-02
289,4.89,4.077e-02
290,4.90,4.110e-02
291,4.91,4.143e-02
292,4.92,4.176e-02
293,4.93,4.209e-02
294,4.94,4.242e-02
295,4.95,4.275e-02
296,4.96,4.308e-02
297,4.97,4.341e-02
298,4.98,4.374e-02
299,4.99,4.407e-02
300,5.00,4.440e-02
301,5.01,4.546e-02
302,5.02,4.652e-02
303,5.03,4.758e-02
304,5.04,4.864e-02
305,5.05,4.970e-02
306,5.06,5.076e-02
307,5.07,5.182e-02
308,5.08,5.288e-02
309,5.09,5.394e-02
310,5.10,5.500e-02
311,5.11,5.606e-02
312,5.12,5.712e-02
313,5.13,5.818e-02
314,5.14,5.924e-02
315,5.15,6.030e-02
316,5.16,6.136e-02
317,5.17,6.242e-02
318,5.18,6.348e-02
319,5.19,6.454e-02
320,5.20,6.560e-02
321,5.21,6.708e-02
322,5.22,6.857e-02
323,5.23,7.006e-02
324,5.24,7.154e-02
325,5.25,7.302e-02
326,5.26,7.451e-02
327,5.27,7.599e-02
328,5.28,7.748e-02
329,5.29,7.896e-02
330,5.30,8.045e-02
331,5.31,8.194e-02
332,5.32,8.342e-02
333,5.33,8.490e-02
334,5.34,8.639e-02
335,5.35,8.787e-02
336,5.36,8.936e-02
337,5.37,9.084e-02
338,5.38,9.233e-02
339,5.39,9.382e-02
340,5.40,9.530e-02
341,5.41,9.693e-02
342,5.42,9.857e-02
343,5.43,1.002e-01
344,5.44,1.018e-01
345,5.45,1.035e-01
346,5.46,1.051e-01
347,5.47,1.067e-01
348,5.48,1.084e-01
349,5.49,1.100e-01
350,5.50,1.116e-01
351,5.51,1.133e-01
352,5.52,1.149e-01
353,5.53,1.166e-01
354,5.54,1.182e-01
355,5.55,1.198e-01
356,5.56,1.215e-01
357,5.57,1.231e-01
358,5.58,1.247e-01
359,5.59,1.264e-01
360,5.60,1.280e-01
361,5.61,1.299e-01
362,5.62,1.319e-01
363,5.63,1.339e-01
364,5.64,1.358e-01
365,5.65,1.378e-01
366,5.66,1.397e-01
367,5.67,1.417e-01
368,5.68,1.436e-01
369,5.69,1.455e-01
370,5.70,1.475e-01
371,5.71,1.495e-01
372,5.72,1.514e-01
373,5.73,1.534e-01
374,5.74,1.553e-01
375,5.75,1.573e-01
376,5.76,1.592e-01
377,5.77,1.611e-01
378,5.78,1.631e-01
379,5.79,1.651e-01
380,5.80,1.670e-01
381,5.81,1.696e-01
382,5.82,1.721e-01
383,5.83,1.747e-01
384,5.84,1.772e-01
385,5.85,1.797e-01
386,5.86,1.823e-01
387,5.87,1.849e-01
388,5.88,1.874e-01
389,5.89,1.900e-01
390,5.90,1.925e-01
391,5.91,1.951e-01
392,5.92,1.976e-01
393,5.93,2.001e-01
394,5.94,2.027e-01
395,5.95,2.053e-01
